email,reportingdate,division,district,suspected24h,confirmed24h,suspecteddeath24h,confirmeddeath24h,admitted24h,discharged24h
sirajganj@cs.dghs.gov.bd,2026-04-18,Rajshahi,Sirajganj,19,2,1,0,6,0
dinajpur@cs.dghs.gov.bd,2026-04-18,Rangpur,Dinajpur,10,6,1,0,14,6
gaibandha@cs.dghs.gov.bd,2026-04-18,Rangpur,Gaibandha,19,3,1,0,11,9
kurigram@cs.dghs.gov.bd,2026-04-18,Rangpur,Kurigram,1,8,0,0,12,6
lalmonirhat@cs.dghs.gov.bd,2026-04-18,Rangpur,Lalmonirhat,10,4,0,0,5,6
nilphamari@cs.dghs.gov.bd,2026-04-18,Rangpur,Nilphamari,6,3,0,0,8,0
panchagarh@cs.dghs.gov.bd,2026-04-18,Rangpur,Panchagarh,11,9,0,0,13,0
rangpur@cs.dghs.gov.bd,2026-04-18,Rangpur,Rangpur,8,8,0,0,6,1
thakurgaon@cs.dghs.gov.bd,2026-04-18,Rangpur,Thakurgaon,9,6,0,0,1,7
habiganj@cs.dghs.gov.bd,2026-04-18,Sylhet,Habiganj,7,8,1,0,13,5
moulvibazar@cs.dghs.gov.bd,2026-04-18,Sylhet,Moulvibazar,6,4,1,0,1,4
sunamganj@cs.dghs.gov.bd,2026-04-18,Sylhet,Sunamganj,11,7,1,0,2,5
sylhet@cs.dghs.gov.bd,2026-04-18,Sylhet,Sylhet,16,5,1,0,9,3
controlroom@mis.dghs.gov.bd,2026-04-18,Dhaka,Dhaka,12,3,1,0,10,5
admin@mis.dghs.gov.bd,2026-04-18,Dhaka,Dhaka,19,6,1,0,8,9
monitoring@mis.dghs.gov.bd,2026-04-18,Dhaka,Dhaka,11,2,0,0,6,7
epiddsh@gmail.com,2026-04-18,Dhaka,Dhaka,1,8,0,0,5,6
smamch.1995@gmail.com,2026-04-18,Dhaka,Dhaka,14,0,1,0,4,4
liaquate@sajida.org,2026-04-18,Dhaka,Dhaka,1,5,1,0,10,7
bashundharaaddin@gmail.com,2026-04-18,Dhaka,Dhaka,12,4,0,0,5,6
coxsbazar@cs.dghs.gov.bd,2026-04-18,Chattogram,Cox's Bazar,13,3,1,0,11,0
satkhira@cs.dghs.gov.bd,2026-04-18,Khulna,Satkhira,5,0,1,0,8,0
