Division,District,Facility Name,Email,Reporting Date,Suspected cases (24h),Confirmed cases (24h),Suspected deaths (24h),Confirmed deaths (24h),Admitted (24h),Discharged (24h),Serum samples sent (24h),,,,
Barisal,Bhola,Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,4/24/2026,7,0,0,0,7,18,0,,,,
Barisal,Jhalakathi,Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,4/24/2026,6,0,0,0,3,0,0,,,,
Barisal,Patuakhali,Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,4/24/2026,29,0,0,0,29,26,0,,,,
Barisal,Pirojpur,Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,4/24/2026,0,0,0,0,1,4,0,,,,
Barisal,Barguna,Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,4/25/2026,8,0,0,0,8,0,0,,,,
Barisal,Barisal,Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,4/25/2026,31,0,0,0,31,6,0,,,,
Barisal,Bhola,Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,4/25/2026,9,0,0,0,9,13,0,,,,
Barisal,Jhalakathi,Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0,,,,
Barisal,Patuakhali,Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,4/25/2026,19,1,0,0,19,15,0,,,,
Barisal,Pirojpur,Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0,,,,
Chattogram,Bandarban,Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,4/21/2026,2,0,0,0,2,1,0,,,,
Chattogram,Brahmanbaria,Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,4/21/2026,4,0,0,0,4,4,0,,,,
Chattogram,Chandpur,Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,4/21/2026,13,0,0,0,13,12,0,,,,
Chattogram,Chattogram,Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,4/21/2026,21,0,0,0,21,7,0,,,,
Chattogram,Cox's Bazar,Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,4/21/2026,53,0,0,0,53,38,0,,,,
Chattogram,Cumilla,Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,4/21/2026,25,0,0,0,23,23,0,,,,
Chattogram,Feni,Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,4/21/2026,5,0,0,0,7,2,0,,,,
Chattogram,Khagrachhari,Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,4/21/2026,0,0,0,0,0,0,0,,,,
Chattogram,Lakshmipur,Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,4/21/2026,19,0,0,0,19,17,0,,,,
Chattogram,Noakhali,Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,4/21/2026,20,0,0,0,20,18,0,,,,
Chattogram,Rangamati,Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,4/21/2026,0,0,0,0,0,0,0,,,,
Barisal,Bhola,Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,4/22/2026,14,0,0,0,14,9,0,,,,
Barisal,Jhalakathi,Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,4/22/2026,3,0,0,0,3,3,0,,,,
Barisal,Patuakhali,Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,4/22/2026,20,0,0,0,20,15,0,,,,
Barisal,Pirojpur,Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,4/22/2026,7,0,0,0,4,3,0,,,,
Chattogram,Bandarban,Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,4/22/2026,2,0,0,0,2,1,0,,,,
Chattogram,Brahmanbaria,Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,4/22/2026,5,0,0,0,5,6,0,,,,
Chattogram,Chandpur,Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,4/22/2026,19,0,0,0,19,10,0,,,,
Chattogram,Chattogram,Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,4/22/2026,34,0,0,0,34,7,0,,,,
Chattogram,Cox's Bazar,Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,4/22/2026,50,0,1,0,50,31,0,,,,
Chattogram,Bandarban,Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,4/23/2026,7,7,0,0,5,3,0,,,,
Chattogram,Brahmanbaria,Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,4/23/2026,5,0,0,0,5,0,0,,,,
Chattogram,Chandpur,Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,4/23/2026,6,0,0,0,6,17,0,,,,
Chattogram,Chattogram,Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,4/23/2026,21,12,0,0,31,12,0,,,,
Chattogram,Cox's Bazar,Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,4/23/2026,56,0,1,0,54,47,0,,,,
Chattogram,Cumilla,Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,4/23/2026,37,0,0,0,28,30,0,,,,
Chattogram,Feni,Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,4/23/2026,4,0,0,0,1,5,0,,,,
Chattogram,Khagrachhari,Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,4/23/2026,0,0,0,0,0,0,0,,,,
Chattogram,Lakshmipur,Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,4/23/2026,16,0,0,0,16,21,0,,,,
Chattogram,Noakhali,Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,4/23/2026,22,0,0,0,22,11,0,,,,
Chattogram,Rangamati,Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,4/23/2026,0,0,0,0,0,0,0,,,,
Chattogram,Bandarban,Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,4/24/2026,16,0,0,0,11,0,0,,,,
Chattogram,Brahmanbaria,Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,4/24/2026,1,0,0,0,1,9,0,,,,
Chattogram,Chandpur,Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,4/24/2026,23,2,0,0,18,2,0,,,,
Chattogram,Chattogram,Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,4/24/2026,29,4,0,0,29,16,0,,,,
Chattogram,Cox's Bazar,Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,4/24/2026,41,0,0,0,41,52,0,,,,
Chattogram,Cumilla,Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,4/24/2026,29,0,0,0,29,26,0,,,,
Chattogram,Feni,Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,4/24/2026,4,0,0,0,7,3,0,,,,
Chattogram,Khagrachhari,Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,4/24/2026,0,0,0,0,0,0,0,,,,
Chattogram,Lakshmipur,Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,4/24/2026,19,0,0,0,19,13,0,,,,
Chattogram,Noakhali,Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,4/24/2026,10,0,0,0,10,0,0,,,,
Chattogram,Rangamati,Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,4/24/2026,0,0,0,0,0,0,0,,,,
Chattogram,Bandarban,Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,4/25/2026,9,0,1,0,8,2,0,,,,
Chattogram,Brahmanbaria,Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,4/25/2026,5,5,1,0,5,6,0,,,,
Chattogram,Chandpur,Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,4/25/2026,10,10,0,0,10,17,0,,,,
Chattogram,Chattogram,Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,4/25/2026,13,15,2,0,13,9,0,,,,
Chattogram,Cox's Bazar,Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,4/25/2026,67,0,1,0,67,40,0,,,,
Chattogram,Cumilla,Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,4/25/2026,0,0,0,0,30,22,0,,,,
Chattogram,Feni,Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,4/25/2026,0,0,0,0,2,2,0,,,,
Chattogram,Khagrachhari,Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0,,,,
Chattogram,Lakshmipur,Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,4/25/2026,8,0,0,0,8,7,0,,,,
Chattogram,Noakhali,Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,4/25/2026,21,0,0,0,21,23,0,,,,
Chattogram,Rangamati,Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0,,,,
Dhaka,Dhaka,Aalok Hospital Ltd.,aalokbd195@gmail.com,4/21/2026,1,19,0,0,0,0,0,,,,
Dhaka,Dhaka,Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,4/21/2026,0,9,0,0,0,0,0,,,,
Dhaka,Dhaka,Bangladesh medical University,bmu@example.com,4/21/2026,5,5,0,0,5,1,0,,,,
Dhaka,Dhaka,Bangladesh Shishu (Children) Hospital & Institute,epiddsh@gmail.com,4/21/2026,5,0,0,0,5,9,0,,,,
Dhaka,Dhaka,Bangladesh Specialized Hospital,bshl.dhaka@gmail.com,4/21/2026,0,0,0,0,0,1,0,,,,
Dhaka,Dhaka,BIHS General Hospital,mhasemanto@gmail.com,4/21/2026,0,1,0,0,0,0,0,,,,
Dhaka,Dhaka,BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,4/21/2026,2,0,0,0,2,0,0,,,,
Dhaka,Dhaka,BRB Hospital Ltd,rasel.hr@brbhospital.com,4/21/2026,3,0,0,0,25,20,0,,,,
Dhaka,Dhaka,Central Police Hospital,unkown@cph.gov.bd,4/21/2026,0,2,0,0,0,2,0,,,,
Dhaka,Dhaka,Delta Hospital Ltd.,amiruldelta@gmail.com,4/21/2026,1,0,0,0,1,0,0,,,,
Dhaka,Dhaka,Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,4/21/2026,86,1,0,0,66,34,0,,,,
Dhaka,Dhaka,Dhaka Medical College Hospital,dmch@hospi.dghs.gov.bd,4/21/2026,5,5,0,0,5,1,0,,,,
Dhaka,Dhaka,"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,4/21/2026,174,78,0,0,98,89,0,,,,
Dhaka,Dhaka,"Dr. M R Khan Shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,4/21/2026,27,24,0,0,4,3,0,,,,
Dhaka,Dhaka,"Dr.Sirajul Islam Medical College & Hospital Ltd.,",simch.bd@gmail.com,4/21/2026,0,12,0,0,2,2,0,,,,
Dhaka,Dhaka,Enam Medical College & Hospital,info@emch.com.bd,4/21/2026,0,0,0,1,5,6,0,,,,
Dhaka,Dhaka,Evercare Hospital Dhaka,mrdept@evercarebd.com,4/21/2026,0,0,0,0,0,1,0,,,,
Dhaka,Dhaka,Holy Family Red Crescent M.C Hospital,hfrcmchdhaka@yahoo.com,4/21/2026,0,1,0,0,0,1,0,,,,
Dhaka,Dhaka,"Infectious Diseases Hospital, Mohakhali",kidh@hospi.dghs.gov.bd,4/21/2026,40,0,0,0,10,14,0,,,,
Dhaka,Dhaka,Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,4/21/2026,11,0,0,0,5,2,0,,,,
Dhaka,Dhaka,Labaid Hospital,shankarpanday144@gmail.com,4/21/2026,1,1,0,0,1,1,0,,,,
Dhaka,Dhaka,Medical College for Women & Hospital,nurarubel@outlook.com,4/21/2026,1,1,0,0,1,0,0,,,,
Dhaka,Dhaka,Millennium Specialized Hospital Ltd.,infomshl99@gmail.com,4/21/2026,1,0,0,0,0,1,0,,,,
Dhaka,Dhaka,Mugda Medical College Hospital,first@hospi.dghs.gov.bd,4/21/2026,22,0,0,0,22,14,0,,,,
Dhaka,Dhaka,Shaheed Monsur Ali Medical College Hospital,smamch.1995@gmail.com,4/21/2026,0,0,0,0,3,0,0,,,,
Dhaka,Dhaka,Shaheed Suhrawardy Medical College Hospital,ssh@hospi.dghs.gov.bd,4/21/2026,27,0,0,0,25,46,0,,,,
Dhaka,Dhaka,Square Hospital Ltd.,muktadir@squarehospital.com,4/21/2026,0,0,0,0,1,1,0,,,,
Dhaka,Dhaka,Universal Medical College & Hospital,umcrc2022@gmail.com,4/21/2026,0,1,0,0,0,2,0,,,,
Dhaka,Dhaka,Uttara Crescent Hopital,shuvo.uch@gmail.com,4/21/2026,0,0,0,0,0,1,0,,,,
Dhaka,Faridpur,Faridpur Civil Surgeon Office,faridpur@cs.dghs.gov.bd,4/21/2026,39,0,0,0,37,16,0,,,,
Dhaka,Gazipur,Gazipur Civil Surgeon Office,gazipur@cs.dghs.gov.bd,4/21/2026,14,11,0,0,14,16,0,,,,
Dhaka,Gopalganj,Gopalganj Civil Surgeon Office,gopalganj@cs.dghs.gov.bd,4/21/2026,17,0,0,0,15,9,0,,,,
Dhaka,Kishoreganj,Kishoreganj Civil Surgeon Office,kishoreganj@cs.dghs.gov.bd,4/21/2026,24,0,0,0,21,34,0,,,,
Dhaka,Madaripur,Madaripur Civil Surgeon Office,madaripur@cs.dghs.gov.bd,4/21/2026,12,0,0,0,11,12,0,,,,
Dhaka,Manikganj,Manikganj Civil Surgeon Office,manikganj@cs.dghs.gov.bd,4/21/2026,17,0,0,0,17,11,0,,,,
Dhaka,Munshiganj,Munshiganj Civil Surgeon Office,munshiganj@cs.dghs.gov.bd,4/21/2026,0,0,0,0,0,2,0,,,,
Dhaka,Narayanganj,Narayanganj Civil Surgeon Office,narayanganj@cs.dghs.gov.bd,4/21/2026,0,0,0,0,0,0,0,,,,
Dhaka,Narsingdi,Narsingdi Civil Surgeon Office,narsingdi@cs.dghs.gov.bd,4/21/2026,11,0,0,0,11,3,0,,,,
Dhaka,Rajbari,Rajbari Civil Surgeon Office,rajbari@cs.dghs.gov.bd,4/21/2026,8,0,0,0,6,6,0,,,,
Dhaka,Shariatpur,Shariatpur Civil Surgeon Office,shariatpur@cs.dghs.gov.bd,4/21/2026,0,0,0,0,0,0,0,,,,
Dhaka,Tangail,Tangail Civil Surgeon Office,tangail@cs.dghs.gov.bd,4/21/2026,27,0,0,0,27,28,0,,,,
Chattogram,Cumilla,Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,4/22/2026,43,0,0,0,37,38,0,,,,
Chattogram,Feni,Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,4/22/2026,4,0,0,0,6,4,0,,,,
Chattogram,Khagrachhari,Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,4/22/2026,0,0,0,0,0,0,0,,,,
Chattogram,Lakshmipur,Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,4/22/2026,19,0,0,0,19,15,0,,,,
Chattogram,Noakhali,Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,4/22/2026,20,0,0,0,20,19,0,,,,
Chattogram,Rangamati,Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,4/22/2026,0,0,0,0,0,0,0,,,,
Dhaka,Dhaka,"Ad-din Women's Medical College Hospital, Moghbazar, Dhaka-1217",mdshihab886@gmail.com,4/22/2026,0,0,0,0,0,1,0,,,,
Dhaka,Dhaka,Aichi Hospital LTD,sabik.aichi@gmail.com,4/22/2026,0,0,0,0,0,1,0,,,,
Dhaka,Dhaka,Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,4/22/2026,0,11,0,0,3,0,0,,,,
Dhaka,Dhaka,Asgar Ali Hospital,zahidulhaq@asgaralihospital.com,4/22/2026,1,1,0,0,1,0,0,,,,
Dhaka,Dhaka,Bangladesh medical University,bmu@example.com,4/22/2026,7,7,0,0,7,0,0,,,,
Dhaka,Dhaka,Bangladesh Shishu (Children) Hospital & Institute,epiddsh@gmail.com,4/22/2026,10,0,1,0,10,13,0,,,,
Dhaka,Dhaka,Bangladesh Specialized Hospital,bshl.dhaka@gmail.com,4/22/2026,2,1,0,0,0,2,0,,,,
Dhaka,Dhaka,BIHS General Hospital,mhasemanto@gmail.com,4/22/2026,2,0,0,0,2,0,0,,,,
Dhaka,Dhaka,BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,4/22/2026,1,0,0,0,0,0,0,,,,
Dhaka,Dhaka,BRB Hospital Ltd,rasel.hr@brbhospital.com,4/22/2026,0,0,0,0,0,1,0,,,,
Dhaka,Dhaka,Central Police Hospital,unkown@cph.gov.bd,4/22/2026,0,2,0,0,0,2,0,,,,
Dhaka,Dhaka,Delta Hospital Ltd.,amiruldelta@gmail.com,4/22/2026,0,0,0,0,1,1,0,,,,
Dhaka,Dhaka,Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,4/22/2026,3,0,0,0,3,1,0,,,,
Dhaka,Dhaka,Dhaka Community Medical college Hospital,ashrafulislamirfan@gmail.com,4/22/2026,73,3,0,0,2,2,0,,,,
Dhaka,Dhaka,Dhaka Medical College Hospital,dmch@hospi.dghs.gov.bd,4/22/2026,2,2,0,0,2,2,0,,,,
Dhaka,Dhaka,"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,4/22/2026,192,15,2,0,123,117,0,,,,
Dhaka,Dhaka,"Dr. M R Khan Shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,4/22/2026,22,20,0,0,9,10,0,,,,
Dhaka,Dhaka,Enam Medical College & Hospital,info@emch.com.bd,4/22/2026,0,0,0,0,7,5,0,,,,
Dhaka,Dhaka,Evercare Hospital Dhaka,mrdept@evercarebd.com,4/22/2026,1,0,0,0,1,2,0,,,,
Dhaka,Faridpur,Faridpur Civil Surgeon Office,faridpur@cs.dghs.gov.bd,4/22/2026,34,0,0,0,33,31,0,,,,
Dhaka,Gazipur,Gazipur Civil Surgeon Office,gazipur@cs.dghs.gov.bd,4/22/2026,19,8,0,0,19,19,0,,,,
Dhaka,Gopalganj,Gopalganj Civil Surgeon Office,gopalganj@cs.dghs.gov.bd,4/22/2026,21,0,0,0,20,12,0,,,,
Dhaka,Dhaka,Holy Family Red Crescent M.C Hospital,hfrcmchdhaka@yahoo.com,4/22/2026,0,36,0,0,0,4,0,,,,
Dhaka,Dhaka,"Infectious Diseases Hospital, Mohakhali",kidh@hospi.dghs.gov.bd,4/22/2026,28,0,0,0,15,8,0,,,,
Dhaka,Kishoreganj,Kishoreganj Civil Surgeon Office,kishoreganj@cs.dghs.gov.bd,4/22/2026,15,0,0,0,23,12,0,,,,
Dhaka,Dhaka,Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,4/22/2026,1,2,0,0,1,1,0,,,,
Dhaka,Dhaka,Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,4/22/2026,0,4,0,0,3,1,0,,,,
Dhaka,Madaripur,Madaripur Civil Surgeon Office,madaripur@cs.dghs.gov.bd,4/22/2026,20,0,0,0,19,5,0,,,,
Dhaka,Manikganj,Manikganj Civil Surgeon Office,manikganj@cs.dghs.gov.bd,4/22/2026,13,0,0,0,12,16,0,,,,
Dhaka,Dhaka,Medical College for Women & Hospital,nurarubel@outlook.com,4/22/2026,0,3,0,0,3,2,0,,,,
Dhaka,Dhaka,Millennium Specialized Hospital Ltd.,infomshl99@gmail.com,4/22/2026,0,0,0,0,0,2,0,,,,
Dhaka,Dhaka,Mugda Medical College Hospital,first@hospi.dghs.gov.bd,4/22/2026,12,0,0,0,12,13,0,,,,
Dhaka,Munshiganj,Munshiganj Civil Surgeon Office,munshiganj@cs.dghs.gov.bd,4/22/2026,3,0,0,0,0,2,0,,,,
Dhaka,Narayanganj,Narayanganj Civil Surgeon Office,narayanganj@cs.dghs.gov.bd,4/22/2026,0,0,0,0,0,0,0,,,,
Dhaka,Narsingdi,Narsingdi Civil Surgeon Office,narsingdi@cs.dghs.gov.bd,4/22/2026,10,0,0,0,10,14,0,,,,
Dhaka,Rajbari,Rajbari Civil Surgeon Office,rajbari@cs.dghs.gov.bd,4/22/2026,0,0,0,0,0,0,0,,,,
Dhaka,Dhaka,Shaheed Monsur Ali Medical College Hospital,smamch.1995@gmail.com,4/22/2026,0,0,0,0,2,1,0,,,,
Dhaka,Dhaka,Shaheed Suhrawardy Medical College Hospital,ssh@hospi.dghs.gov.bd,4/22/2026,36,0,0,0,30,24,0,,,,
Dhaka,Shariatpur,Shariatpur Civil Surgeon Office,shariatpur@cs.dghs.gov.bd,4/22/2026,8,0,0,0,7,2,0,,,,
Dhaka,Dhaka,Square Hospital Ltd.,muktadir@squarehospital.com,4/22/2026,0,3,0,0,0,3,0,,,,
Dhaka,Tangail,Tangail Civil Surgeon Office,tangail@cs.dghs.gov.bd,4/22/2026,23,0,1,0,23,17,0,,,,
Dhaka,Dhaka,Universal Medical College & Hospital,umcrc2022@gmail.com,4/22/2026,0,1,0,0,0,1,0,,,,
Dhaka,Dhaka,Uttara Crescent Hopital,shuvo.uch@gmail.com,4/22/2026,3,3,0,0,3,2,0,,,,
Khulna,Bagerhat,Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,4/22/2026,1,0,0,0,1,3,0,,,,
Khulna,Chuadanga,Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,4/22/2026,1,0,0,0,1,3,0,,,,
Khulna,Jashore,Jashore Civil Surgeon Office,jashore@cs.dghs.gov.bd,4/22/2026,13,0,0,0,13,15,0,,,,
Khulna,Jhenaidah,Jhenaidah Civil Surgeon Office,jhenaidah@cs.dghs.gov.bd,4/22/2026,3,0,0,0,3,7,0,,,,
Khulna,Khulna,Khulna Civil Surgeon Office,khulna@cs.dghs.gov.bd,4/22/2026,4,0,0,0,4,5,0,,,,
Khulna,Kushtia,Kushtia Civil Surgeon Office,kushtia@cs.dghs.gov.bd,4/22/2026,28,0,0,0,28,22,0,,,,
Khulna,Magura,Magura Civil Surgeon Office,magura@cs.dghs.gov.bd,4/22/2026,7,0,0,0,7,6,0,,,,
Khulna,Meherpur,Meherpur Civil Surgeon Office,meherpur@cs.dghs.gov.bd,4/22/2026,6,0,0,0,6,2,0,,,,
Khulna,Narail,Narail Civil Surgeon Office,narail@cs.dghs.gov.bd,4/22/2026,3,0,0,0,3,4,0,,,,
Khulna,Satkhira,Satkhira Civil Surgeon Office,satkhira@cs.dghs.gov.bd,4/22/2026,1,0,0,0,1,2,0,,,,
Mymensingh,Jamalpur,Jamalpur Civil Surgeon Office,jamalpur@cs.dghs.gov.bd,4/22/2026,3,0,0,0,3,5,0,,,,
Dhaka,Dhaka,Aichi Hospital LTD,sabik.aichi@gmail.com,4/23/2026,0,1,0,0,0,2,0,,,,
Dhaka,Dhaka,Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,4/23/2026,0,10,0,0,2,3,0,,,,
Dhaka,Dhaka,Asgar Ali Hospital,zahidulhaq@asgaralihospital.com,4/23/2026,2,2,0,0,2,0,0,,,,
Dhaka,Dhaka,Bangladesh medical University,bmu@example.com,4/23/2026,6,6,0,0,6,3,0,,,,
Dhaka,Dhaka,Bangladesh Shishu (Children) Hospital & Institute,epiddsh@gmail.com,4/23/2026,11,0,0,0,11,11,0,,,,
Dhaka,Dhaka,Bangladesh Specialized Hospital,bshl.dhaka@gmail.com,4/23/2026,4,2,0,0,4,1,0,,,,
Dhaka,Dhaka,BIHS General Hospital,mhasemanto@gmail.com,4/23/2026,3,0,0,0,3,1,0,,,,
Dhaka,Dhaka,BRB Hospital Ltd,rasel.hr@brbhospital.com,4/23/2026,25,1,0,0,0,0,0,,,,
Dhaka,Dhaka,Central Police Hospital,unkown@cph.gov.bd,4/23/2026,1,3,0,0,1,2,0,,,,
Dhaka,Dhaka,City Hospital Ltd.,cityhosp.bd@gmail.com,4/23/2026,0,1,0,0,0,0,0,,,,
Dhaka,Dhaka,Continental Hospital,continental@example.com,4/23/2026,1,0,0,0,1,0,0,,,,
Dhaka,Dhaka,Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,4/23/2026,6,0,0,0,6,7,0,,,,
Dhaka,Dhaka,Dhaka Medical College Hospital,dmch@hospi.dghs.gov.bd,4/23/2026,1,1,0,0,1,1,0,,,,
Dhaka,Dhaka,"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,4/23/2026,207,0,1,0,100,147,0,,,,
Dhaka,Dhaka,"Dr. M R Khan Shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,4/23/2026,24,20,0,0,12,12,0,,,,
