Facility Name,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent
Aichi Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,1,0,0,0,5,2,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,2,0,0,0,1,0,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/7/2026,,,0,6,0,0,0,1,
Asgar Ali Hospital,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
Bangladesh medical University,Dhaka,Dhaka,4/7/2026,,,10,10,0,0,10,3,
Bangladesh Shishu Hospital & Institute,Dhaka,Dhaka,4/7/2026,,,209,35,4,0,209,148,
Bangladesh Specialized Hospital PLC,Dhaka,Dhaka,4/7/2026,,,1,1,0,0,1,0,
BIHS General Hospital,Dhaka,Dhaka,4/7/2026,,,1,0,0,0,1,0,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/7/2026,,,7,1,1,0,7,5,
BRB Hospital Ltd,Dhaka,Dhaka,4/7/2026,,,10,0,0,0,2,7,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/7/2026,,,133,30,0,0,75,54,
Continental Hospital,Dhaka,Dhaka,4/7/2026,,,7,0,0,0,7,4,
Crescent Gastroliver & General Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
Dhaka Central International Medical College & Hospital,Dhaka,Dhaka,4/7/2026,,,3,1,0,0,3,2,
Dhaka Community Hospital,Dhaka,Dhaka,4/7/2026,,,14,14,0,0,7,1,
Dhaka Community Medical College Hospital,Dhaka,Dhaka,4/7/2026,,,50,39,0,0,39,34,
Dhaka medical College hospital,Dhaka,Dhaka,4/7/2026,,,14,14,1,3,14,0,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/7/2026,,,1087,150,3,1,709,433,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/7/2026,,,138,138,1,1,74,24,
Dr. Sirajul Islam Medical College & Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,3,10,0,0,1,0,
Enam Medical College & Hospital,Dhaka,Dhaka,4/7/2026,,,0,18,0,0,23,9,
Evercare Hospital Dhaka,Dhaka,Dhaka,4/7/2026,,,8,10,0,0,8,13,
EXIM Bank Hospital,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,1,1,0,0,1,1,
Holy Family Red Crescent Medical College Hopital,Dhaka,Dhaka,4/7/2026,,,0,10,0,0,0,5,
Ibn Sina Hospital,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",Dhaka,Dhaka,4/7/2026,,,745,180,28,1,629,634,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/7/2026,,,2,2,2,0,2,2,
Japan Bangladesh Friendship Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
Khidmah Hospital (Pvt.) Ltd.,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
Kurmitola General Hospital,Dhaka,Dhaka,4/7/2026,,,23,0,1,0,16,9,
Kuwait Bangladesh Friendship Govt. Hospital,Dhaka,Dhaka,4/7/2026,,,7,0,0,0,7,1,
Labaid Hospital,Dhaka,Dhaka,4/7/2026,,,1,1,0,0,1,0,
Millennium Specialized Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,2,6,0,0,8,6,
"Mugda Medical College Hospital, Dhaka",Dhaka,Dhaka,4/7/2026,,,81,0,1,0,81,42,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
Popular Medical College And Hospital Ltd.,Dhaka,Dhaka,4/7/2026,,,0,1,0,0,0,0,
Shaheed Monsur Ali Medical College Hospital,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,4,2,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/7/2026,,,280,31,3,0,252,152,
Sir Salimullah Medical College mitford Hospital Dhaka,Dhaka,Dhaka,4/7/2026,,,30,0,0,0,18,18,
Square Hospital LTD,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
United Medical College Hospital,Dhaka,Dhaka,4/7/2026,,,1,2,0,0,1,2,
Universal medical college hospital,Dhaka,Dhaka,4/7/2026,,,2,7,0,1,2,3,
Uttara Crescent Hospital,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
"Zainul Haque Sikder Women's Medical College & Hospital (Pvt.) Ltd. , Gulshan Branch",Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/7/2026,,,152,4,1,0,42,67,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/7/2026,,,133,16,0,0,111,80,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/7/2026,,,154,8,1,0,116,61,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/7/2026,,,146,16,0,1,46,14,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/7/2026,,,85,15,1,0,63,43,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/7/2026,,,105,3,0,0,60,30,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/7/2026,,,73,26,0,0,16,11,
Narayanganj Civil Surgeon Office,Dhaka,Narayanganj,4/7/2026,,,56,0,0,0,38,12,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/7/2026,,,104,14,0,0,51,34,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/7/2026,,,52,3,0,0,27,24,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/7/2026,,,96,13,1,1,28,15,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/7/2026,,,133,12,2,0,107,66,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/7/2026,,,12,0,0,0,11,1,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/7/2026,,,7,0,0,0,0,1,
jashore Civil Surgeon Office,Khulna,jashore,4/7/2026,,,175,23,0,0,57,25,
Jhenaidah Civil Surgeon Office,Khulna,Jhenaidah,4/7/2026,,,31,7,0,0,31,9,
Khulna Civil Surgeon Office,Khulna,Khulna,4/7/2026,,,62,6,0,0,62,50,
Kushtia Civil Surgeon Office,Khulna,Kushtia,4/7/2026,,,281,1,6,0,281,172,
Magura Civil Surgeon Office,Khulna,Magura,4/7/2026,,,140,8,0,0,98,14,
Meherpur Civil Surgeon Office,Khulna,Meherpur,4/7/2026,,,55,0,0,0,46,24,
Narail Civil Surgeon Office,Khulna,Narail,4/7/2026,,,21,4,0,0,17,9,
Satkhira Civil Surgeon Office,Khulna,Satkhira,4/7/2026,,,40,0,0,0,40,20,
Jamalpur Civil Surgeon Office,Mymensingh,Jamalpur,4/7/2026,,,35,0,0,1,35,15,
Mymensingh Civil Surgeon Office,Mymensingh,Mymensingh,4/7/2026,,,47,7,0,0,2,0,
Netrokona Civil Surgeon Office,Mymensingh,Netrokona,4/7/2026,,,135,10,0,1,52,24,
Sherpur Civil Surgeon Office,Mymensingh,Sherpur,4/7/2026,,,42,0,0,0,19,10,
Bogura Civil Surgeon Office,Rajshahi,Bogura,4/7/2026,,,117,2,2,0,54,28,
Chapainawabganj Civil Surgeon Office,Rajshahi,Chapainawabganj,4/7/2026,,,462,38,6,0,462,387,
Joypurhat Civil Surgeon Office,Rajshahi,Joypurhat,4/7/2026,,,74,3,0,0,27,14,
Naogaon Civil Surgeon Office,Rajshahi,Naogaon,4/7/2026,,,160,10,1,0,21,8,
Natore Civil Surgeon Office,Rajshahi,Natore,4/7/2026,,,118,14,0,0,86,43,
Pabna Civil Surgeon Office,Rajshahi,Pabna,4/7/2026,,,252,65,6,2,252,208,
Rajshahi Civil Surgeon Office,Rajshahi,Rajshahi,4/7/2026,,,91,18,0,0,17,10,
Rajshahi Medical College Hospital,Rajshahi,Rajshahi,4/7/2026,,,429,37,43,0,429,263,
Sirajganj Civil Surgeon Office,Rajshahi,Sirajganj,4/7/2026,,,47,46,0,0,47,31,
Dinajpur Civil Surgeon Office,Rangpur,Dinajpur,4/7/2026,,,109,4,0,0,60,56,
Gaibandha Civil Surgeon Office,Rangpur,Gaibandha,4/7/2026,,,57,0,0,0,11,10,
Kurigram Civil Surgeon Office,Rangpur,Kurigram,4/7/2026,,,26,1,0,0,24,23,
lalmonirhat Civil Surgeon Office,Rangpur,lalmonirhat,4/7/2026,,,21,0,0,0,11,5,
Nilphamari Civil Surgeon Office,Rangpur,Nilphamari,4/7/2026,,,65,2,0,0,9,7,
Panchagarh Civil Surgeon Office,Rangpur,Panchagarh,4/7/2026,,,21,0,0,0,0,0,
Rangpur Civil Surgeon Office,Rangpur,Rangpur,4/7/2026,,,30,0,0,0,0,0,
Kasir Uddin Hospital & Diagnostic Center,Rangpur,Rangpur,4/7/2026,,,0,0,0,0,0,0,
Thakurgaon Civil Surgeon Office,Rangpur,Thakurgaon,4/7/2026,,,50,3,0,0,15,8,
Habiganj Civil Surgeon Office,Sylhet,Habiganj,4/7/2026,,,58,6,0,0,46,34,
Moulvibazar Civil Surgeon Office,Sylhet,Moulvibazar,4/7/2026,,,108,10,0,0,43,24,
Sunamganj Civil Surgeon Office,Sylhet,Sunamganj,4/7/2026,,,138,11,0,0,73,41,
Sylhet Civil Surgeon Office,Sylhet,Sylhet,4/7/2026,,,162,10,1,0,125,80,
Barguna Civil Surgeon Office,Barisal,Barguna,4/8/2026,,,24,0,0,0,3,15,
Barisal Civil Surgeon Office,Barisal,Barisal,4/8/2026,,,7,0,0,0,4,11,
Bhola Civil Surgeon Office,Barisal,Bhola,4/8/2026,,,2,0,0,0,2,0,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/8/2026,,,5,0,0,0,2,0,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/8/2026,,,16,0,0,0,12,16,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/8/2026,,,17,0,0,0,2,1,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/8/2026,,,1,0,0,0,0,0,
Bandarban Civil Surgeon Office,Chattogram,Bandarban,4/8/2026,,,0,0,0,0,0,3,
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/8/2026,,,5,2,0,0,5,9,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/8/2026,,,13,17,0,0,12,8,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/8/2026,,,16,4,0,0,16,5,
Cox's Bazar Civil Surgeon Office,Chattogram,Cox's Bazar,4/8/2026,,,34,0,0,0,31,28,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/8/2026,,,45,0,0,0,31,15,
Feni Civil Surgeon Office,Chattogram,Feni,4/8/2026,,,6,0,0,0,6,2,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/8/2026,,,0,0,0,0,0,0,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/8/2026,,,8,1,0,0,8,4,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/8/2026,,,17,0,0,0,17,10,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,1,
Aichi Hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/8/2026,,,0,5,0,0,0,1,
Bangladesh medical University,Dhaka,Dhaka,4/8/2026,,,8,8,0,0,2,1,
Bangladesh Shishu Hospital & Institute,Dhaka,Dhaka,4/8/2026,,,15,0,2,0,15,8,
Bangladesh Specialized Hospital PLC,Dhaka,Dhaka,4/8/2026,,,4,2,0,0,2,0,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/8/2026,,,2,0,0,0,2,1,
BRB Hospital Ltd,Dhaka,Dhaka,4/8/2026,,,2,0,0,0,1,1,
CITY HOSPITAL LTD.,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/8/2026,,,11,0,0,0,6,4,
Continental Hospital,Dhaka,Dhaka,4/8/2026,,,1,0,0,0,1,0,
Crescent Gastroliver & General Hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Dhaka Community Medical College Hospital,Dhaka,Dhaka,4/8/2026,,,52,2,0,0,1,1,
Dhaka medical College hospital,Dhaka,Dhaka,4/8/2026,,,1,1,0,0,1,1,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/8/2026,,,94,29,0,0,66,75,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/8/2026,,,37,37,0,0,8,6,
Dr. Sirajul Islam Medical College & Hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,0,1,0,0,1,1,
Enam Medical College & Hospital,Dhaka,Dhaka,4/8/2026,,,0,3,0,0,2,4,
Evercare Hospital Dhaka,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,2,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Holy Femily Red Crescent Medical College Hospital,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,1,
Ibn Sina Hospital,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",Dhaka,Dhaka,4/8/2026,,,37,11,1,0,15,15,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Japan Bangladesh Friendship hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Kurmitola General Hospital,Dhaka,Dhaka,4/8/2026,,,6,0,0,0,2,0,
Kuwait Bangladesh Friendship Govt. Hospital,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Labaid Hospital,Dhaka,Dhaka,4/8/2026,,,0,1,0,0,0,0,
MARKS Medical College Hospital,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Medical College for Women & Hospital,Dhaka,Dhaka,4/8/2026,,,0,6,0,0,0,1,
Millennium Specialized Hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,2,0,1,0,0,0,
"Mugda Medical College Hospital, Dhaka",Dhaka,Dhaka,4/8/2026,,,11,0,0,0,11,12,
Popular Medical College And Hospital Ltd.,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/8/2026,,,32,10,1,0,24,24,
"Sir Salimullah Medical College, mitford hospital Dahaka",Dhaka,Dhaka,4/8/2026,,,1,0,0,0,0,0,
Square Hospital LTD,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
United Medical College Hospital,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Universal medical college hospital,Dhaka,Dhaka,4/8/2026,,,2,2,0,0,0,2,
UTTARA CRESCENT CLINIC PVT. LTD.,Dhaka,Dhaka,4/8/2026,,,1,1,0,0,1,0,
"Zainul Haque Sikder Women's Medical College & Hospital (Pvt.) Ltd. , Gulshan Branch",Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/8/2026,,,17,0,0,0,17,15,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/8/2026,,,16,13,0,0,16,10,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/8/2026,,,21,0,0,0,25,17,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/8/2026,,,54,0,0,0,6,7,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/8/2026,,,10,0,0,0,8,2,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/8/2026,,,12,0,0,0,5,6,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/8/2026,,,7,2,0,0,3,3,
Narayanganj Civil Surgeon Office,Dhaka,Narayanganj,4/8/2026,,,6,0,0,0,0,0,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/8/2026,,,13,0,0,0,13,8,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/8/2026,,,14,1,0,0,4,2,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/8/2026,,,15,0,0,0,6,2,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/8/2026,,,1,0,1,0,21,9,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/8/2026,,,20,0,0,0,2,0,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/8/2026,,,4,0,0,0,4,2,
jashore Civil Surgeon Office,Khulna,jashore,4/8/2026,,,28,0,0,0,16,5,
Jhenaidah Civil Surgeon Office,Khulna,Jhenaidah,4/8/2026,,,4,1,0,0,4,13,
Khulna Civil Surgeon Office,Khulna,Khulna,4/8/2026,,,4,0,0,0,4,0,
Kushtia Civil Surgeon Office,Khulna,Kushtia,4/8/2026,,,23,2,1,0,23,44,
Magura Civil Surgeon Office,Khulna,Magura,4/8/2026,,,15,0,0,0,7,4,
Meherpur Civil Surgeon Office,Khulna,Meherpur,4/8/2026,,,7,0,0,0,3,2,
Narail Civil Surgeon Office,Khulna,Narail,4/8/2026,,,8,1,0,0,4,4,
Satkhira Civil Surgeon Office,Khulna,Satkhira,4/8/2026,,,5,0,0,0,5,10,
Jamalpur Civil Surgeon Office,Mymensingh,Jamalpur,4/8/2026,,,3,0,0,0,3,5,
Mymensingh Civil Surgeon Office,Mymensingh,Mymensingh,4/8/2026,,,4,0,0,0,0,0,
Netrokona Civil Surgeon Office,Mymensingh,Netrokona,4/8/2026,,,16,3,0,0,7,6,
Sherpur Civil Surgeon Office,Mymensingh,Sherpur,4/8/2026,,,5,0,0,0,3,0,
Bogura Civil Surgeon Office,Rajshahi,Bogura,4/8/2026,,,25,3,0,0,10,8,
chapainawabganj Civil Surgeon Office,Rajshahi,chapainawabganj,4/8/2026,,,40,0,0,0,40,28,
Joypurhat Civil Surgeon Office,Rajshahi,Joypurhat,4/8/2026,,,8,0,0,0,1,2,
Naogaon Civil Surgeon Office,Rajshahi,Naogaon,4/8/2026,,,12,2,0,0,7,7,
Natore Civil Surgeon Office,Rajshahi,Natore,4/8/2026,,,6,0,0,0,6,7,
Pabna Civil Surgeon Office,Rajshahi,Pabna,4/8/2026,,,18,0,0,0,18,13,
Rajshahi Civil Surgeon Office,Rajshahi,Rajshahi,4/8/2026,,,7,0,0,0,0,0,
Rajshahi Medical College Hospital,Rajshahi,Rajshahi,4/8/2026,,,133,0,3,0,23,10,
Sirajganj Civil Surgeon Office,Rajshahi,Sirajganj,4/8/2026,,,24,14,0,0,14,8,
Dinajpur Civil Surgeon Office,Rangpur,Dinajpur,4/8/2026,,,22,0,0,0,10,5,
Gaibandha Civil Surgeon Office,Rangpur,Gaibandha,4/8/2026,,,4,0,0,0,0,1,
Kurigram Civil Surgeon Office,Rangpur,Kurigram,4/8/2026,,,5,0,0,0,2,3,
Lalmonirhat Civil Surgeon Office,Rangpur,Lalmonirhat,4/8/2026,,,3,0,0,0,3,4,
Nilphamari Civil Surgeon Office,Rangpur,Nilphamari,4/8/2026,,,6,3,0,0,2,4,
Panchagarh Civil Surgeon Office,Rangpur,Panchagarh,4/8/2026,,,2,0,0,0,0,0,
Rangpur Civil Surgeon Office,Rangpur,Rangpur,4/8/2026,,,5,1,0,0,0,0,
Kasir Uddin Hospital & Diagnostic Center,Rangpur,Rangpur,4/8/2026,,,0,0,0,0,0,0,
Thakurgaon Civil Surgeon Office,Rangpur,Thakurgaon,4/8/2026,,,15,0,0,0,3,3,
Habiganj Civil Surgeon Office,Sylhet,Habiganj,4/8/2026,,,4,0,0,0,4,7,
Moulvibazar Civil Surgeon Office,Sylhet,Moulvibazar,4/8/2026,,,10,0,0,0,10,6,
Sunamganj Civil Surgeon Office,Sylhet,Sunamganj,4/8/2026,,,15,0,0,0,10,9,
Sylhet Civil Surgeon Office,Sylhet,Sylhet,4/8/2026,,,17,0,0,0,9,6,
Barguna Civil Surgeon Office,Barisal,Barguna,4/9/2026,,,24,0,0,0,6,7,
Barisal Civil Surgeon Office,Barisal,Barisal,4/9/2026,,,4,0,0,0,0,3,
Bhola Civil Surgeon Office,Barisal,Bhola,4/9/2026,,,9,0,0,0,9,7,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/9/2026,,,4,0,0,0,4,2,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/9/2026,,,21,0,0,0,19,14,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/9/2026,,,13,0,0,0,5,1,
Bandarban Civil Surgeon Office,Chattogram,Bandarban,4/9/2026,,,4,0,0,0,4,1,
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/9/2026,,,6,0,0,0,6,5,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/9/2026,,,25,1,0,0,14,7,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/9/2026,,,20,4,0,0,21,13,
Cox's Bazar Civil Surgeon Office,Chattogram,Cox's Bazar,4/9/2026,,,39,0,0,0,38,24,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/9/2026,,,32,0,0,0,14,15,
Feni Civil Surgeon Office,Chattogram,Feni,4/9/2026,,,10,0,0,0,8,9,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/9/2026,,,1,0,0,0,1,1,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/9/2026,,,17,0,0,0,15,7,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/9/2026,,,5,0,0,0,5,3,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/9/2026,,,0,0,0,0,0,0,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,2,
Aichi Hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,1,1,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,1,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/9/2026,,,0,9,0,0,5,1,
Asgar Ali Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Bangladesh medical University,Dhaka,Dhaka,4/9/2026,,,8,8,0,0,8,2,
Bangladesh Shishu Hospital & Institute,Dhaka,Dhaka,4/9/2026,,,12,0,0,0,12,12,
Bangladesh Specialized Hospital PLC,Dhaka,Dhaka,4/9/2026,,,2,2,0,0,2,0,
BIHS General Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
City Hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/9/2026,,,16,0,0,0,9,5,
Continental Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Crescent Gastroliver & General Hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
DELTA HOSPITAL LIMITED,Dhaka,Dhaka,4/9/2026,,,3,0,0,0,3,0,
Dhaka Central International Medical College & Hospital,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,0,1,
Dhaka Community Medical College Hospital,Dhaka,Dhaka,4/9/2026,,,52,2,0,0,0,4,
Dhaka medical College hospital,Dhaka,Dhaka,4/9/2026,,,3,3,0,0,3,0,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/9/2026,,,135,29,0,0,60,55,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/9/2026,,,38,38,0,0,6,5,
Dr. Sirajul Islam Medical College & Hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,2,11,0,0,0,2,
Enam Medical College & Hospital,Dhaka,Dhaka,4/9/2026,,,0,1,0,0,1,5,
Evercare Hospital Dhaka,Dhaka,Dhaka,4/9/2026,,,0,1,0,0,1,1,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Holy Family Red Crescent Medical College Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,3,3,
Ibn Sina Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Ibn Sina Medical College Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",Dhaka,Dhaka,4/9/2026,,,21,5,0,1,13,8,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,0,0,
Islami Bank Hospital Motijheel,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,1,2,
Japan Bangladesh Friendship hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Khidmah Hospital (Pvt.) Ltd.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
kurmitola General Hospital,Dhaka,Dhaka,4/9/2026,,,5,0,0,0,1,0,
Kuwait Bangladesh Friendship Govt. Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
