Facility Name,Email,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent,,,,,,,,,,
Crescent Gastroliver & General Hospital Ltd.,crescentgastroliver2010@gmail.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,Chattogram,Cumilla,4/7/2026,,,356,27,3,0,143,84,,,,,,,,,,,
Dhaka Central International Medical College & Hospital,admin@dcimch.com,Dhaka,Dhaka,4/7/2026,,,3,1,0,0,3,2,,,,,,,,,,,
Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,133,30,0,0,75,54,,,,,,,,,,,
Dhaka Community Hospital,ashrafulislamirfan@gmail.com,Dhaka,Dhaka,4/7/2026,,,14,14,0,0,7,1,,,,,,,,,,,
Dhaka Community Medical College Hospital,ashrafulislamirfan@gmail.com,Dhaka,Dhaka,4/7/2026,,,50,39,0,0,39,34,,,,,,,,,,,
Dhaka medical College hospital,dmch@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,14,14,1,3,14,0,,,,,,,,,,,
Dinajpur Civil Surgeon Office,dinajpur@cs.dghs.gov.bd,Rangpur,Dinajpur,4/7/2026,,,109,4,0,0,60,56,,,,,,,,,,,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,1087,150,3,1,709,433,,,,,,,,,,,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,Dhaka,Dhaka,4/7/2026,,,138,138,1,1,74,24,,,,,,,,,,,
Dr. Sirajul Islam Medical College & Hospital Ltd.,simch.bd@gmail.com,Dhaka,Dhaka,4/7/2026,,,3,10,0,0,1,0,,,,,,,,,,,
Enam Medical College & Hospital,info@emch.com.bd,Dhaka,Dhaka,4/7/2026,,,0,18,0,0,23,9,,,,,,,,,,,
Evercare Hospital Dhaka,mrdept@evercarebd.com,Dhaka,Dhaka,4/7/2026,,,8,10,0,0,8,13,,,,,,,,,,,
EXIM Bank Hospital,barikkhan1962@gmail.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Faridpur Civil Surgeon Office,faridpur@cs.dghs.gov.bd,Dhaka,Faridpur,4/7/2026,,,152,4,1,0,42,67,,,,,,,,,,,
Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,Chattogram,Feni,4/7/2026,,,78,2,0,0,33,20,,,,,,,,,,,
Gaibandha Civil Surgeon Office,gaibandha@cs.dghs.gov.bd,Rangpur,Gaibandha,4/7/2026,,,57,0,0,0,11,10,,,,,,,,,,,
Gazipur Civil Surgeon Office,gazipur@cs.dghs.gov.bd,Dhaka,Gazipur,4/7/2026,,,133,16,0,0,111,80,,,,,,,,,,,
Gopalganj  Civil Surgeon Office,gopalganj@cs.dghs.gov.bd,Dhaka,Gopalganj  ,4/7/2026,,,154,8,1,0,116,61,,,,,,,,,,,
Habiganj Civil Surgeon Office,habiganj@cs.dghs.gov.bd,Sylhet,Habiganj,4/7/2026,,,58,6,0,0,46,34,,,,,,,,,,,
Hi-Care General Hospital Ltd.,hicare13@gmail.com,Dhaka,Dhaka,4/7/2026,,,1,1,0,0,1,1,,,,,,,,,,,
Holy Family Red Crescent Medical College Hopital,hfrcmchdhaka@yahoo.com,Dhaka,Dhaka,4/7/2026,,,0,10,0,0,0,5,,,,,,,,,,,
Ibn Sina Hospital,ibnsinahospitaldhanmondidengue@gmail.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",kidh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,745,180,28,1,629,634,,,,,,,,,,,
Insaf Barakah Kidney & General Hospital,insafbarakah@gmail.com,Dhaka,Dhaka,4/7/2026,,,2,2,2,0,2,2,,,,,,,,,,,
Jamalpur Civil Surgeon Office,jamalpur@cs.dghs.gov.bd,Mymensingh,Jamalpur,4/7/2026,,,35,0,0,1,35,15,,,,,,,,,,,
Japan Bangladesh Friendship Hospital Ltd.,jbfh24@yahoo.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
jashore Civil Surgeon Office,jashore@cs.dghs.gov.bd,Khulna,jashore,4/7/2026,,,175,23,0,0,57,25,,,,,,,,,,,
Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,Barisal,Jhalakathi,4/7/2026,,,37,8,2,0,13,5,,,,,,,,,,,
Jhenaidah Civil Surgeon Office,jhenaidah@cs.dghs.gov.bd,Khulna,Jhenaidah,4/7/2026,,,31,7,0,0,31,9,,,,,,,,,,,
Joypurhat Civil Surgeon Office,joypurhat@cs.dghs.gov.bd,Rajshahi,Joypurhat,4/7/2026,,,74,3,0,0,27,14,,,,,,,,,,,
Kasir Uddin Hospital & Diagnostic Center,zunaed.kmmch@gmail.com,Rangpur,Rangpur,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,Chattogram,Khagrachhari,4/7/2026,,,12,0,0,0,12,11,,,,,,,,,,,
Khidmah Hospital (Pvt.) Ltd.,info@khidmahhospital.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khulna Civil Surgeon Office,khulna@cs.dghs.gov.bd,Khulna,Khulna,4/7/2026,,,62,6,0,0,62,50,,,,,,,,,,,
Kishoreganj Civil Surgeon Office,kishoreganj@cs.dghs.gov.bd,Dhaka,Kishoreganj,4/7/2026,,,146,16,0,1,46,14,,,,,,,,,,,
Kurigram Civil Surgeon Office,kurigram@cs.dghs.gov.bd,Rangpur,Kurigram,4/7/2026,,,26,1,0,0,24,23,,,,,,,,,,,
Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,23,0,1,0,16,9,,,,,,,,,,,
Kushtia Civil Surgeon Office,kushtia@cs.dghs.gov.bd,Khulna,Kushtia,4/7/2026,,,281,1,6,0,281,172,,,,,,,,,,,
Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,7,0,0,0,7,1,,,,,,,,,,,
Labaid Hospital,shankarpanday144@gmail.com,Dhaka,Dhaka,4/7/2026,,,1,1,0,0,1,0,,,,,,,,,,,
Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,Chattogram,Lakshmipur,4/7/2026,,,76,4,1,0,71,46,,,,,,,,,,,
lalmonirhat Civil Surgeon Office,lalmonirhat@cs.dghs.gov.bd,Rangpur,lalmonirhat,4/7/2026,,,21,0,0,0,11,5,,,,,,,,,,,
Madaripur Civil Surgeon Office,madaripur@cs.dghs.gov.bd,Dhaka,Madaripur,4/7/2026,,,85,15,1,0,63,43,,,,,,,,,,,
Magura Civil Surgeon Office,magura@cs.dghs.gov.bd,Khulna,Magura,4/7/2026,,,140,8,0,0,98,14,,,,,,,,,,,
Manikganj Civil Surgeon Office,manikganj@cs.dghs.gov.bd,Dhaka,Manikganj,4/7/2026,,,105,3,0,0,60,30,,,,,,,,,,,
Meherpur Civil Surgeon Office,meherpur@cs.dghs.gov.bd,Khulna,Meherpur,4/7/2026,,,55,0,0,0,46,24,,,,,,,,,,,
Millennium Specialized Hospital Ltd.,infomshl99@gmail.com,Dhaka,Dhaka,4/7/2026,,,2,6,0,0,8,6,,,,,,,,,,,
Moulvibazar Civil Surgeon Office,moulvibazar@cs.dghs.gov.bd,Sylhet,Moulvibazar,4/7/2026,,,108,10,0,0,43,24,,,,,,,,,,,
"Mugda Medical College Hospital, Dhaka",first@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,81,0,1,0,81,42,,,,,,,,,,,
Munshiganj Civil Surgeon Office,munshiganj@cs.dghs.gov.bd,Dhaka,Munshiganj,4/7/2026,,,73,26,0,0,16,11,,,,,,,,,,,
Mymensingh Civil Surgeon Office,mymensingh@cs.dghs.gov.bd,Mymensingh,Mymensingh,4/7/2026,,,47,7,0,0,2,0,,,,,,,,,,,
Naogaon Civil Surgeon Office,naogaon@cs.dghs.gov.bd,Rajshahi,Naogaon,4/7/2026,,,160,10,1,0,21,8,,,,,,,,,,,
Narail Civil Surgeon Office,narail@cs.dghs.gov.bd,Khulna,Narail,4/7/2026,,,21,4,0,0,17,9,,,,,,,,,,,
Narayanganj Civil Surgeon Office,narayanganj@cs.dghs.gov.bd,Dhaka,Narayanganj,4/7/2026,,,56,0,0,0,38,12,,,,,,,,,,,
Narsingdi Civil Surgeon Office,narsingdi@cs.dghs.gov.bd,Dhaka,Narsingdi,4/7/2026,,,104,14,0,0,51,34,,,,,,,,,,,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),nitor@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Natore Civil Surgeon Office,natore@cs.dghs.gov.bd,Rajshahi,Natore,4/7/2026,,,118,14,0,0,86,43,,,,,,,,,,,
Netrokona Civil Surgeon Office,netrokona@cs.dghs.gov.bd,Mymensingh,Netrokona,4/7/2026,,,135,10,0,1,52,24,,,,,,,,,,,
Nilphamari Civil Surgeon Office,nilphamari@cs.dghs.gov.bd,Rangpur,Nilphamari,4/7/2026,,,65,2,0,0,9,7,,,,,,,,,,,
Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,Chattogram,Noakhali,4/7/2026,,,132,6,0,0,132,83,,,,,,,,,,,
Pabna Civil Surgeon Office,pabna@cs.dghs.gov.bd,Rajshahi,Pabna,4/7/2026,,,252,65,6,2,252,208,,,,,,,,,,,
Panchagarh Civil Surgeon Office,panchagarh@cs.dghs.gov.bd,Rangpur,Panchagarh,4/7/2026,,,21,0,0,0,0,0,,,,,,,,,,,
Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,Barisal,Patuakhali,4/7/2026,,,183,9,0,0,168,101,,,,,,,,,,,
Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,Barisal,Pirojpur,4/7/2026,,,66,4,0,0,22,14,,,,,,,,,,,
Popular Medical College And Hospital Ltd.,pmchcoordinator@yahoo.com,Dhaka,Dhaka,4/7/2026,,,0,1,0,0,0,0,,,,,,,,,,,
Rajbari Civil Surgeon Office,rajbari@cs.dghs.gov.bd,Dhaka,Rajbari,4/7/2026,,,52,3,0,0,27,24,,,,,,,,,,,
Rajshahi Civil Surgeon Office,rajshahi@cs.dghs.gov.bd,Rajshahi,Rajshahi,4/7/2026,,,91,18,0,0,17,10,,,,,,,,,,,
Rajshahi Medical College Hospital,rajshahimch@hospi.dghs.gov.bd,Rajshahi,Rajshahi,4/7/2026,,,429,37,43,0,429,263,,,,,,,,,,,
Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,Chattogram,Rangamati,4/7/2026,,,16,0,0,0,5,5,,,,,,,,,,,
Rangpur Civil Surgeon Office,rangpur@cs.dghs.gov.bd,Rangpur,Rangpur,4/7/2026,,,30,0,0,0,0,0,,,,,,,,,,,
Satkhira Civil Surgeon Office,satkhira@cs.dghs.gov.bd,Khulna,Satkhira,4/7/2026,,,40,0,0,0,40,20,,,,,,,,,,,
Shaheed Monsur Ali Medical College Hospital,smamch.1995@gmail.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,4,2,,,,,,,,,,,
Shaheed Suhrawardy Medical College Hospital,ssh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,280,31,3,0,252,152,,,,,,,,,,,
Shariatpur Civil Surgeon Office,shariatpur@cs.dghs.gov.bd,Dhaka,Shariatpur,4/7/2026,,,96,13,1,1,28,15,,,,,,,,,,,
Sherpur Civil Surgeon Office,sherpur@cs.dghs.gov.bd,Mymensingh,Sherpur,4/7/2026,,,42,0,0,0,19,10,,,,,,,,,,,
Sir Salimullah Medical College mitford Hospital Dhaka,mitford@hospi.dghs.gov.bd,Dhaka,Dhaka,4/7/2026,,,30,0,0,0,18,18,,,,,,,,,,,
Sirajganj Civil Surgeon Office,sirajganj@cs.dghs.gov.bd,Rajshahi,Sirajganj,4/7/2026,,,47,46,0,0,47,31,,,,,,,,,,,
Square Hospital LTD,muktadir@squarehospital.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Sunamganj Civil Surgeon Office,sunamganj@cs.dghs.gov.bd,Sylhet,Sunamganj,4/7/2026,,,138,11,0,0,73,41,,,,,,,,,,,
Sylhet Civil Surgeon Office,sylhet@cs.dghs.gov.bd,Sylhet,Sylhet,4/7/2026,,,162,10,1,0,125,80,,,,,,,,,,,
Tangail Civil Surgeon Office,tangail@cs.dghs.gov.bd,Dhaka,Tangail,4/7/2026,,,133,12,2,0,107,66,,,,,,,,,,,
Thakurgaon Civil Surgeon Office,thakurgaon@cs.dghs.gov.bd,Rangpur,Thakurgaon,4/7/2026,,,50,3,0,0,15,8,,,,,,,,,,,
United Medical College Hospital,unknown@umch.com,Dhaka,Dhaka,4/7/2026,,,1,2,0,0,1,2,,,,,,,,,,,
Universal medical college hospital,umcrc2022@gmail.com,Dhaka,Dhaka,4/7/2026,,,2,7,0,1,2,3,,,,,,,,,,,
Uttara Crescent Hospital,shuvo.uch@gmail.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Zainul Haque Sikder Women's Medical College & Hospital (Pvt.) Ltd. , Gulshan Branch",info@sikderhospital.net,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",mdshihab886@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Aichi Hospital Ltd.,sabik.aichi@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
AMZ Hospital Ltd.,amzhospitalltd.mis10699@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,5,0,0,0,1,,,,,,,,,,,
Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,Khulna,Bagerhat,4/8/2026,,,20,0,0,0,2,0,,,,,,,,,,,
Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,Chattogram,Bandarban,4/8/2026,,,0,0,0,0,0,3,,,,,,,,,,,
Bangladesh medical University,bmu@example.com,Dhaka,Dhaka,4/8/2026,,,8,8,0,0,2,1,,,,,,,,,,,
Bangladesh Shishu Hospital & Institute,epiddsh@gmail.com,Dhaka,Dhaka,4/8/2026,,,15,0,2,0,15,8,,,,,,,,,,,
Bangladesh Specialized Hospital PLC,bshl.dhaka@gmail.com,Dhaka,Dhaka,4/8/2026,,,4,2,0,0,2,0,,,,,,,,,,,
Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,Barisal,Barguna,4/8/2026,,,24,0,0,0,3,15,,,,,,,,,,,
Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,Barisal,Barisal,4/8/2026,,,7,0,0,0,4,11,,,,,,,,,,,
Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,Barisal,Bhola,4/8/2026,,,2,0,0,0,2,0,,,,,,,,,,,
BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,Dhaka,Dhaka,4/8/2026,,,2,0,0,0,2,1,,,,,,,,,,,
Bogura Civil Surgeon Office,bogura@cs.dghs.gov.bd,Rajshahi,Bogura,4/8/2026,,,25,3,0,0,10,8,,,,,,,,,,,
Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,Chattogram,Brahmanbaria,4/8/2026,,,5,2,0,0,5,9,,,,,,,,,,,
BRB Hospital Ltd,rasel.hr@brbhospital.com,Dhaka,Dhaka,4/8/2026,,,2,0,0,0,1,1,,,,,,,,,,,
Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,Chattogram,Chandpur,4/8/2026,,,13,17,0,0,12,8,,,,,,,,,,,
chapainawabganj Civil Surgeon Office,chapainawabganj@cs.dghs.gov.bd,Rajshahi,chapainawabganj,4/8/2026,,,40,0,0,0,40,28,,,,,,,,,,,
Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,Chattogram,Chattogram,4/8/2026,,,16,4,0,0,16,5,,,,,,,,,,,
Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,Khulna,Chuadanga,4/8/2026,,,4,0,0,0,4,2,,,,,,,,,,,
CITY HOSPITAL LTD.,cityhosp.bd@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Continental Hospital,continental@example.com,Dhaka,Dhaka,4/8/2026,,,1,0,0,0,1,0,,,,,,,,,,,
Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,Chattogram,Cox's Bazar,4/8/2026,,,34,0,0,0,31,28,,,,,,,,,,,
Crescent Gastroliver & General Hospital Ltd.,crescentgastroliver2010@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,Chattogram,Cumilla,4/8/2026,,,45,0,0,0,31,15,,,,,,,,,,,
Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,11,0,0,0,6,4,,,,,,,,,,,
Dhaka Community Medical College Hospital,ashrafulislamirfan@gmail.com,Dhaka,Dhaka,4/8/2026,,,52,2,0,0,1,1,,,,,,,,,,,
Dhaka medical College hospital,dmch@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,1,1,0,0,1,1,,,,,,,,,,,
Dinajpur Civil Surgeon Office,dinajpur@cs.dghs.gov.bd,Rangpur,Dinajpur,4/8/2026,,,22,0,0,0,10,5,,,,,,,,,,,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,94,29,0,0,66,75,,,,,,,,,,,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,Dhaka,Dhaka,4/8/2026,,,37,37,0,0,8,6,,,,,,,,,,,
Dr. Sirajul Islam Medical College & Hospital Ltd.,simch.bd@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,1,0,0,1,1,,,,,,,,,,,
Enam Medical College & Hospital,info@emch.com.bd,Dhaka,Dhaka,4/8/2026,,,0,3,0,0,2,4,,,,,,,,,,,
Evercare Hospital Dhaka,mrdept@evercarebd.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,2,,,,,,,,,,,
Faridpur Civil Surgeon Office,faridpur@cs.dghs.gov.bd,Dhaka,Faridpur,4/8/2026,,,17,0,0,0,17,15,,,,,,,,,,,
Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,Chattogram,Feni,4/8/2026,,,6,0,0,0,6,2,,,,,,,,,,,
Gaibandha Civil Surgeon Office,gaibandha@cs.dghs.gov.bd,Rangpur,Gaibandha,4/8/2026,,,4,0,0,0,0,1,,,,,,,,,,,
Gazipur Civil Surgeon Office,gazipur@cs.dghs.gov.bd,Dhaka,Gazipur,4/8/2026,,,16,13,0,0,16,10,,,,,,,,,,,
Gopalganj  Civil Surgeon Office,gopalganj@cs.dghs.gov.bd,Dhaka,Gopalganj  ,4/8/2026,,,21,0,0,0,25,17,,,,,,,,,,,
Habiganj Civil Surgeon Office,habiganj@cs.dghs.gov.bd,Sylhet,Habiganj,4/8/2026,,,4,0,0,0,4,7,,,,,,,,,,,
Hi-Care General Hospital Ltd.,hicare13@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Holy Femily Red Crescent Medical College Hospital,hfrcmchdhaka@yahoo.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Ibn Sina Hospital,ibnsinahospitaldhanmondidengue@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",kidh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,37,11,1,0,15,15,,,,,,,,,,,
Insaf Barakah Kidney & General Hospital,insafbarakah@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Jamalpur Civil Surgeon Office,jamalpur@cs.dghs.gov.bd,Mymensingh,Jamalpur,4/8/2026,,,3,0,0,0,3,5,,,,,,,,,,,
Japan Bangladesh Friendship hospital Ltd.,jbfh24@yahoo.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
jashore Civil Surgeon Office,jashore@cs.dghs.gov.bd,Khulna,jashore,4/8/2026,,,28,0,0,0,16,5,,,,,,,,,,,
Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,Barisal,Jhalakathi,4/8/2026,,,5,0,0,0,2,0,,,,,,,,,,,
Jhenaidah Civil Surgeon Office,jhenaidah@cs.dghs.gov.bd,Khulna,Jhenaidah,4/8/2026,,,4,1,0,0,4,13,,,,,,,,,,,
Joypurhat Civil Surgeon Office,joypurhat@cs.dghs.gov.bd,Rajshahi,Joypurhat,4/8/2026,,,8,0,0,0,1,2,,,,,,,,,,,
Kasir Uddin Hospital & Diagnostic Center,zunaed.kmmch@gmail.com,Rangpur,Rangpur,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,Chattogram,Khagrachhari,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khulna Civil Surgeon Office,khulna@cs.dghs.gov.bd,Khulna,Khulna,4/8/2026,,,4,0,0,0,4,0,,,,,,,,,,,
Kishoreganj Civil Surgeon Office,kishoreganj@cs.dghs.gov.bd,Dhaka,Kishoreganj,4/8/2026,,,54,0,0,0,6,7,,,,,,,,,,,
Kurigram Civil Surgeon Office,kurigram@cs.dghs.gov.bd,Rangpur,Kurigram,4/8/2026,,,5,0,0,0,2,3,,,,,,,,,,,
Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,6,0,0,0,2,0,,,,,,,,,,,
Kushtia Civil Surgeon Office,kushtia@cs.dghs.gov.bd,Khulna,Kushtia,4/8/2026,,,23,2,1,0,23,44,,,,,,,,,,,
Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Labaid Hospital,shankarpanday144@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,1,0,0,0,0,,,,,,,,,,,
Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,Chattogram,Lakshmipur,4/8/2026,,,8,1,0,0,8,4,,,,,,,,,,,
Lalmonirhat Civil Surgeon Office,lalmonirhat@cs.dghs.gov.bd,Rangpur,Lalmonirhat,4/8/2026,,,3,0,0,0,3,4,,,,,,,,,,,
Madaripur Civil Surgeon Office,madaripur@cs.dghs.gov.bd,Dhaka,Madaripur,4/8/2026,,,10,0,0,0,8,2,,,,,,,,,,,
Magura Civil Surgeon Office,magura@cs.dghs.gov.bd,Khulna,Magura,4/8/2026,,,15,0,0,0,7,4,,,,,,,,,,,
Manikganj Civil Surgeon Office,manikganj@cs.dghs.gov.bd,Dhaka,Manikganj,4/8/2026,,,12,0,0,0,5,6,,,,,,,,,,,
